City,State
Alwar,Rajasthan
Bharatpur,Rajasthan
Amritsar,Punjab
Ludhiana,Punjab
Jalandhar,Punjab
Patiala,Punjab
Rohtak,Haryana
Panipat,Haryana
Faridabad,Haryana
Hisar,Haryana
Chandigarh,Chandigarh
Delhi,Delhi
Lucknow,Uttar Pradesh
Varanasi,Uttar Pradesh
Kanpur,Uttar Pradesh
Agra,Uttar Pradesh
Allahabad,Uttar Pradesh
Bareilly,Uttar Pradesh
Meerut,Uttar Pradesh
Gorakhpur,Uttar Pradesh
Mirzapur,Uttar Pradesh
Patna,Bihar
Gaya,Bihar
Bhagalpur,Bihar
Muzaffarpur,Bihar
Darbhanga,Bihar
Dhanbad,Jharkhand
Hazaribagh,Jharkhand
Giridih,Jharkhand
Kolkata,West Bengal
Howrah,West Bengal
Durgapur,West Bengal
Asansol,West Bengal
Haridwar,Uttarakhand
Rudrapur,Uttarakhand
Guwahati,Assam
Dibrugarh,Assam
Nagaon,Assam
Tezpur,Assam
